id,A,B,C,budget,history,age
932,12,36,26,9543,C,20
933,42,30,34,18795,C,30
934,8,31,50,5103,C,24
935,24,24,50,8056,B,26
936,50,2,19,37596,A,35
937,23,11,28,13035,C,52
938,24,21,35,35645,A,47
939,21,32,35,31189,B,39
940,34,23,25,16659,B,43
941,25,4,11,24310,C,50
942,11,25,23,23913,A,17
943,7,2,45,9217,A,54
944,20,48,42,41295,B,56
945,29,39,48,17045,A,32
946,47,36,48,12132,A,24
947,43,24,35,35951,A,27
948,3,13,46,49927,A,56
949,5,44,46,38415,C,19
950,48,3,21,6333,C,54
951,40,16,35,11465,C,39
952,6,33,8,13251,A,16
953,37,9,48,21726,B,57
954,27,6,25,15173,B,56
955,30,11,10,36088,A,26
956,28,6,18,30350,B,17
957,27,17,40,9432,C,48
958,43,3,41,20335,A,36
959,23,2,10,17647,C,47
960,11,27,37,37164,C,33
961,31,22,32,44283,B,31
962,34,23,6,35847,B,48
963,22,12,39,26180,B,45
964,6,1,20,24922,A,20
965,34,47,14,42440,A,36
966,2,20,22,19284,B,41
967,42,31,36,5672,C,56
968,8,17,7,20607,A,18
969,24,4,7,47478,B,33
970,9,6,27,8806,C,48
971,13,10,3,11291,C,41
972,2,26,28,20976,C,45
973,21,28,26,17226,C,49
974,14,21,13,42120,C,52
975,45,44,43,23740,C,51
976,29,31,29,24856,A,45
977,16,43,23,12360,B,59
978,30,14,23,18978,B,34
979,24,42,40,36057,C,53
980,18,40,26,39370,A,24
981,49,17,3,8935,A,30
982,28,42,8,12713,A,33
983,41,3,35,6528,B,37
984,32,7,21,25443,A,17
985,5,28,20,6326,A,59
986,4,30,24,45156,A,33
987,1,10,25,38350,A,39
988,49,19,15,12792,B,32
989,43,13,14,16534,A,20
990,11,7,36,9551,C,28
991,35,6,49,39578,B,34
992,40,16,5,15970,B,37
993,22,49,21,28483,A,49
994,46,40,23,24874,B,25
995,22,47,19,35067,C,33
996,47,41,2,5209,B,36
997,46,8,44,10667,A,30
998,22,48,19,40563,A,40
999,8,12,16,33523,C,34
1000,35,32,30,28106,A,33
